,filename,status,lam,num_eq,loss,MRSE_train,MRSE_test
0,0000,init,0.0,18,0.009601033015616708,0.009601033015616708,0.059922696838497935
0,0001,refine,0.0,11,0.009600781071736236,0.009600781071736236,0.059626791839666696
0,0002,accept,1e-06,11,0.009614523910701014,0.009600266946049447,0.05975703607188909
0,0003,accept,2e-06,11,0.009627767534032276,0.009599673879503775,0.05959476322167013
0,0004,accept,4e-06,11,0.009654853446525042,0.009600042987209543,0.05931598218262691
0,0005,accept,8e-06,11,0.009709979843332711,0.0096019453172544,0.05966153590323933
0,0006,accept,1.6e-05,9,0.009800069025362155,0.009601964549047944,0.05904911717702428
0,0007,refine,1.6e-05,9,0.0098001910546549,0.009602042463680216,0.059005410767169336
0,0008,accept,3.2e-05,9,0.010023421560005477,0.009634770044079099,0.057469995135664184
0,0009,accept,6.4e-05,9,0.010412344120960152,0.009635882064973006,0.057093523809018304
0,0010,accept,0.000128,9,0.011188345512766776,0.00963740878170185,0.05695159233678521
0,0011,accept,0.000256,9,0.012709510185087543,0.009829991856129367,0.05211891482118393
0,0012,accept,0.000512,6,0.014316038491058253,0.010207989463247583,0.04908397373251075
0,0013,refine,0.000512,6,0.014321282521447463,0.01019410454033836,0.048682525018863124
0,0014,accept,0.001024,6,0.01841204137978337,0.010260999950352269,0.04973424802976244
0,0015,finish,0.002048,5,0.026210176221010996,0.011341727204088343,0.05779675650079601
0,0016,refine,0.002048,5,0.02630020902028582,0.011224384821236347,0.05779889828408883
