,filename,status,lam,num_eq,loss,MRSE_train,MRSE_test
0,0000,init,0.0,64,0.0012746751568704434,0.0012746751568704434,0.014728742769184108
0,0001,refine,0.0,61,0.0012624204372634698,0.0012624204372634698,0.014883450182257108
0,0002,accept,1e-06,59,0.0013448284304503283,0.0012500282216746732,0.014817716399441797
0,0003,refine,1e-06,59,0.0013408123118118283,0.00124656731710349,0.014951548754315466
0,0004,accept,2e-06,58,0.0014289512783982558,0.0012436942505085215,0.01520464092666346
0,0005,refine,2e-06,58,0.0014188804179620241,0.0012355903150242367,0.015196663192835908
0,0006,accept,4e-06,55,0.0016145831950630902,0.0012538204890350704,0.01601388606572833
0,0007,refine,4e-06,55,0.0015896164609041973,0.0012307391129672569,0.015418173001487304
0,0008,accept,8e-06,36,0.0016083869495354844,0.0012069789117868704,0.0174334701102705
0,0009,refine,8e-06,36,0.0016141218033068104,0.0012117402102952333,0.017374710495137353
0,0010,accept,1.6e-05,30,0.0019820440123827863,0.001214530235974641,0.016243750883415654
0,0011,refine,1.6e-05,30,0.001989438379996452,0.001211161069746941,0.016188952004816428
0,0012,accept,3.2e-05,19,0.0025539989088963697,0.0012441385124066936,0.015496141955536565
0,0013,refine,3.2e-05,19,0.00270365447000664,0.0013424691142693026,0.014459927320181643
0,0014,accept,6.4e-05,14,0.0034618664865261896,0.0014017830477410483,0.017862498323644362
0,0015,refine,6.4e-05,14,0.003567802594643469,0.0013508858612616068,0.014674300364673057
0,0016,accept,0.000128,13,0.005277912092126615,0.00159375503154833,0.019094166947260818
0,0017,refine,0.000128,13,0.005335833205196469,0.0015448438790265093,0.01663832270681349
0,0018,accept,0.000256,12,0.010484378079255285,0.004616201944264962,0.04225559181424149
0,0019,refine,0.000256,12,0.010845015678594454,0.00431477490099857,0.03296005195101215
0,0020,accept,0.000512,11,0.0155452553986528,0.005318277155235405,0.05036916160225203
0,0021,refine,0.000512,11,0.01619984047405968,0.004818860485808969,0.039559950283732465
0,0022,accept,0.001024,8,0.024723440510938582,0.007240819886464085,0.05720790789469106
0,0023,refine,0.001024,8,0.025837114416243697,0.006826723078650606,0.0634697400549301
0,0024,accept,0.002048,8,0.041930441804550474,0.007962902045279005,0.057108476987874635
0,0025,accept,0.004096,8,0.07533990522141552,0.009591623935200718,0.057530252147386586
0,0026,accept,0.008192,8,0.13964052676467287,0.013445005616533424,0.06091074605070701
0,0027,accept,0.016384,7,0.25549222106706654,0.031112851323143433,0.0493965006267975
0,0028,refine,0.016384,7,0.28580663076226814,0.01621147197676022,0.04346193650666201
0,0029,accept,0.032768,5,0.4598297690043548,0.2208413492010498,0.30038920672123964
0,0030,refine,0.032768,5,0.48122537499879015,0.21704610357283607,0.2913570540168659
0,0031,finish,0.065536,5,0.7339405131484481,0.22439420578050281,0.30432961924341195
