,filename,status,lam,num_eq,loss,MRSE_train,MRSE_test
0,0000,init,0.0,8,0.011237935697698468,0.011237935697698468,0.045320913783612374
0,0001,refine,0.0,7,0.011239660327401537,0.011239660327401537,0.04536441843849132
0,0002,accept,1e-06,7,0.011257712846181406,0.011239000597307326,0.045372903980857734
0,0003,accept,2e-06,7,0.01126982144952829,0.011232352796643738,0.045372964485469014
0,0004,accept,4e-06,7,0.011312998473928448,0.01123810313290101,0.04529760780174336
0,0005,accept,8e-06,7,0.011386355202085878,0.011236401106540849,0.045431238296903015
0,0006,accept,1.6e-05,7,0.011537092854752035,0.01123770935539592,0.04534201939383368
0,0007,accept,3.2e-05,7,0.011884629953344378,0.011291137876083763,0.04534741259642395
0,0008,accept,6.4e-05,7,0.012433073266516102,0.01123591832937477,0.04544703777434126
0,0009,accept,0.000128,7,0.013655983291465296,0.011291319259001132,0.045688448724586966
0,0010,accept,0.000256,7,0.016023262657837444,0.01126976530760122,0.045571176294677614
0,0011,accept,0.000512,7,0.02073631513438409,0.011337612728915411,0.045780100840081286
0,0012,accept,0.001024,6,0.02697988155097105,0.013124000117089567,0.041556288849594114
0,0013,refine,0.001024,6,0.02709775978390533,0.01278839116069402,0.04150469059673384
0,0014,accept,0.002048,6,0.040512637090637266,0.0138800487255471,0.04173346148672154
0,0015,accept,0.004096,6,0.06665416569856109,0.015239048416429216,0.042387963960783676
0,0016,finish,0.008192,5,0.10929034723400294,0.03658088873701502,0.07808274793456986
0,0017,refine,0.008192,5,0.1210911972920885,0.032444510758941336,0.07913039749326074
